"Start Date","Start Time","Location","Subject"
"09/02/2022","5:00:00 PM","Morgan Parlor","Birthday Night Sing-Along"
"09/05/2022","3:00:00 PM","Friendship Hall","Ice cream & music by Bing & Benny"
"09/08/2022","3:00:00 PM","Porter Garden","Beatles in the Garden"
"09/12/2022","3:00:00 PM","Friendship Hall","Asian Art Museum Presents The Goddess: Images of Power"
"09/13/2022","10:00:00 AM","Friendship Hall","Flu and Covid-19 Vaccine Clinic"
"09/16/2022","3:00:00 PM","Friendship Hall","DeYoung/Legion of Honor: Ramses the Great"
"09/23/2022","3:00:00 PM","Friendship Hall","Karaoke with Stephen"
