"Subject", "Start Date","Start Time","Location"
"Jason Myers: Sing-Along","11/15/2023","3:00 PM","Friendship Hall"
"Teddy the Goldendoodle: SPCA visit","11/16/2023","1:30 PM","Friendship Hall"
"Ian Scarfe: Piano Concert","11/16/2023","3:00 PM","Morgan Parlor"
"Stephen Camarota: Thanksgiving Happy Hour & Sing-Along","11/22/2023","3:00","Friendship Hall"
"DeYoung Presentation: Botticelli Drawings","11/30/2023","3:00","Friendship Hall"
"Men's Group","2023-11-14","3:30 pm","Cottage"
"Lucretia Way","2023-11-28","3:00 pm","Morgan Parlor"
